symbol,name,index,industry,price,monthly_high,retracement,pe_ratio,pb_ratio,market_cap,eastmoney_url
688682,霍莱沃,2343,未知,105.79,109.03,0.029716591763734704,232.73,6.01,3855620565.0,https://quote.eastmoney.com/concept/sh688682.html?from=classic
832566,梓橦宫,4696,未知,32.46,36.36,0.10726072607260723,28.75,2.5,2036487320.0,https://quote.eastmoney.com/concept/sh832566.html?from=classic
301182,凯旺科技,1009,未知,38.45,41.08,0.06402142161635822,-23.68,4.7,3642182817.0,https://quote.eastmoney.com/concept/sz301182.html?from=classic
301119,正强股份,1266,未知,55.38,60.18,0.07976071784646058,28.18,4.42,4275440000.0,https://quote.eastmoney.com/concept/sz301119.html?from=classic
600602,云赛智联,3203,未知,11530.98,11895.83,0.030670411396262417,172.3,6.78,32742102513.0,https://quote.eastmoney.com/concept/sh600602.html?from=classic
002859,洁美科技,2321,未知,125.88,127.36,0.011620603015075408,65.15,4.43,12833310382.0,https://quote.eastmoney.com/concept/sz002859.html?from=classic
300840,酷特智能,1770,未知,24.42,25.12,0.02786624203821653,94.67,4.65,5827200000.0,https://quote.eastmoney.com/concept/sz300840.html?from=classic
300590,移为通信,2105,未知,80.21,80.97,0.00938619241694461,102.67,3.55,6369444811.0,https://quote.eastmoney.com/concept/sz300590.html?from=classic
603719,良品铺子,2108,未知,15.6,16.59,0.05967450271247741,-38.8,2.66,5609990000.0,https://quote.eastmoney.com/concept/sh603719.html?from=classic
301263,泰恩康,4780,未知,64.32,78.01,0.17549032175362148,199.81,8.52,14820077925.0,https://quote.eastmoney.com/concept/sz301263.html?from=classic
603138,海量数据,2103,未知,52.38,53.94,0.02892102335928801,-55.94,6.33,5001713524.0,https://quote.eastmoney.com/concept/sh603138.html?from=classic
300612,宣亚国际,448,未知,38.29,40.49,0.05433440355643376,-184.17,6.1,2968476459.0,https://quote.eastmoney.com/concept/sz300612.html?from=classic
002843,泰嘉股份,1138,未知,42.43,43.77,0.03061457619374008,83.18,4.83,6759153540.0,https://quote.eastmoney.com/concept/sz002843.html?from=classic
300293,蓝英装备,4666,未知,125.95,139.0,0.09388489208633091,-459.44,10.39,9195363340.0,https://quote.eastmoney.com/concept/sz300293.html?from=classic
688339,亿华通-U,3194,未知,67.34,69.97,0.037587537516078254,-15.17,2.29,5645361214.0,https://quote.eastmoney.com/concept/sh688339.html?from=classic
