序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息
67,002350,北京科锐,7.48,10.0,0.68,254660.0,189117798.16,10.88,7.48,6.74,6.74,6.8,0.81,4.81,1592.75,2.39,4056638505.0,3957594015.0,0.0,0.0,51.42,10.81,电网设备
68,002344,海宁皮城,5.17,10.0,0.47,942333.0,461083332.7,12.13,5.17,4.6,4.66,4.7,1.69,7.35,68.96,0.79,6631129683.0,6625096976.0,0.0,0.0,59.57,27.34,商业百货
69,002307,北新路桥,4.73,10.0,0.43,1412116.0,637765036.86,10.7,4.73,4.27,4.57,4.3,4.28,12.94,896.16,1.74,5999019183.0,5160575291.0,0.0,0.0,59.8,11.82,工程建设
70,002227,奥 特 迅,12.43,10.0,1.13,82720.0,101207639.96,10.44,12.43,11.25,11.25,11.3,0.32,3.34,-98.67,2.98,3080230693.0,3078149451.0,0.0,0.0,40.61,-7.03,电源设备
71,002119,康强电子,16.39,10.0,1.49,494701.0,777173223.32,9.13,16.39,15.03,15.15,14.9,2.37,13.18,58.09,4.51,6150904760.0,6150904760.0,0.0,0.0,54.19,22.86,半导体
72,001389,广合科技,55.44,10.0,5.04,84778.0,449813472.13,10.79,55.44,50.0,50.71,50.4,0.78,22.27,35.9,8.06,23576691600.0,2110600800.0,0.0,0.0,59.95,222.7,电子元件
73,002796,世嘉科技,16.18,9.99,1.47,447716.0,684990712.76,13.46,16.18,14.2,14.51,14.71,1.25,19.76,109.07,4.74,4084268019.0,3665522095.0,0.0,0.0,80.58,43.06,专用设备
74,600579,克劳斯,13.21,9.99,1.2,282005.0,372446691.0,0.17,13.21,13.19,13.2,12.01,0.45,5.7,-4.54,-11.45,6535150262.0,6535150262.0,0.0,0.0,141.94,81.96,专用设备
75,001266,宏英智能,24.88,9.99,2.26,49003.0,121294429.2,9.95,24.88,22.63,22.86,22.62,1.09,13.89,-165.32,2.67,2566863629.0,877557408.0,0.0,0.0,32.41,-14.5,仪器仪表
76,603207,小方制药,32.59,9.99,2.96,63344.0,202408358.0,6.78,32.59,30.58,31.2,29.63,1.26,16.16,24.19,4.38,5214400000.0,1277454738.0,0.0,0.0,48.81,161.35,化学制药
77,002945,华林证券,19.05,9.99,1.73,1282138.0,2388360328.69,8.89,19.05,17.51,17.95,17.32,1.56,4.75,127.69,7.77,51435000000.0,51435000000.0,0.0,0.0,85.85,26.16,证券
78,002599,盛通股份,7.93,9.99,0.72,193460.0,153411806.8,0.55,7.93,7.89,7.93,7.21,0.78,4.8,7070.12,2.95,4263062666.0,3195105371.0,0.0,0.0,63.17,19.25,包装材料
79,603719,良品铺子,15.09,9.99,1.37,270972.0,388723582.0,11.73,15.09,13.48,13.72,13.72,1.11,6.76,234.05,2.62,6051090000.0,6051090000.0,0.0,0.0,44.26,-28.45,食品饮料
80,000678,襄阳轴承,6.72,9.98,0.61,222204.0,146695096.72,6.71,6.72,6.31,6.42,6.11,1.24,4.83,-119.07,3.79,3088591276.0,3088591276.0,0.0,0.0,35.21,3.86,汽车零部件
81,002491,通鼎互联,5.18,9.98,0.47,283416.0,146809544.98,0.0,5.18,5.18,5.18,4.71,0.53,2.41,588.79,2.57,6371371510.0,6094108752.0,0.0,0.0,53.25,-1.15,通信设备
82,600725,云维股份,4.52,9.98,0.41,10860.0,4908593.0,0.0,4.52,4.52,4.52,4.11,0.04,0.09,-458.43,15.86,5570764400.0,5570764400.0,0.0,0.0,89.12,55.86,煤炭行业
83,001217,华尔泰,12.79,9.97,1.16,101989.0,128222175.79,7.82,12.79,11.88,11.88,11.63,0.45,3.29,39.66,1.89,4244617300.0,3965806478.0,0.0,0.0,42.43,-8.77,化学原料
84,001258,立新能源,8.27,9.97,0.75,366994.0,297974895.33,6.52,8.27,7.78,7.9,7.52,3.07,7.83,44.68,2.57,7718666672.0,3876218749.0,0.0,0.0,40.65,3.38,电力行业
85,603366,日出东方,15.66,9.97,1.42,506158.0,781632130.0,9.76,15.66,14.27,14.27,14.24,0.71,6.23,142.01,3.19,12735933496.0,12732333262.0,0.0,0.0,301.54,154.63,家电行业
86,600223,福瑞达,7.83,9.97,0.71,272146.0,206309508.0,10.81,7.83,7.06,7.13,7.12,1.46,2.68,34.88,1.97,7959733508.0,7959733508.0,0.0,0.0,22.34,-17.41,生物制品
87,603421,鼎信通讯,10.48,9.97,0.95,638901.0,666098571.0,8.08,10.48,9.71,10.48,9.53,1.62,9.8,-180.27,2.04,6834956555.0,6834956555.0,0.0,0.0,73.22,12.21,通信服务
88,600712,南宁百货,6.73,9.97,0.61,150465.0,99174690.0,9.48,6.73,6.15,6.36,6.12,0.41,2.79,488.12,4.4,3665530573.0,3625103537.0,0.0,0.0,86.43,28.93,商业百货
89,002272,川润股份,11.81,9.96,1.07,1333401.0,1514997021.08,11.73,11.81,10.55,10.55,10.74,1.92,35.13,-138.55,3.58,5726400913.0,4482761240.0,0.0,0.0,145.02,73.93,工程机械
90,000936,华西股份,8.39,9.96,0.76,1186361.0,977697432.88,11.14,8.39,7.54,7.61,7.63,2.6,13.39,43.23,1.43,7433648122.0,7432594757.0,0.0,0.0,50.36,4.09,化纤行业
91,301446,福事特,24.76,9.95,2.24,70151.0,171679664.33,19.54,26.7,22.3,22.52,22.52,1.24,26.98,37.58,2.32,2575040000.0,643760000.0,0.08,0.04,36.72,3.38,通用设备
92,000600,建投能源,6.19,9.95,0.56,1124872.0,667988901.46,11.37,6.19,5.55,5.61,5.63,1.61,10.32,19.25,1.09,11199563137.0,6747414922.0,0.0,0.0,34.86,25.56,电力行业
93,601908,京运通,3.78,9.88,0.34,1613936.0,575065095.0,13.95,3.78,3.3,3.35,3.44,2.6,6.68,-4.86,0.92,9127198815.0,9127198815.0,0.0,0.0,66.52,-17.11,光伏设备
94,301012,扬电科技,27.23,9.49,2.36,141383.0,368788409.27,10.09,27.23,24.72,24.9,24.87,1.0,12.42,54.29,3.42,3880007874.0,3099459924.0,0.26,0.93,42.27,35.47,电网设备
95,300154,瑞凌股份,11.69,9.46,1.01,521213.0,598310351.86,18.63,12.46,10.47,10.6,10.68,1.78,16.53,27.55,2.99,5255300300.0,3685909032.0,0.6,1.3,131.94,62.36,通用设备
96,300100,双林股份,30.49,9.32,2.6,456757.0,1366431813.35,7.42,30.78,28.71,28.71,27.89,1.7,11.8,25.01,4.91,12219454311.0,11801547333.0,-0.03,0.4,134.0,195.16,汽车零部件
97,835237,力佳科技,27.11,9.14,2.27,31045.0,81230112.05,8.7,27.13,24.97,24.99,24.84,1.94,4.77,27.2,3.77,1801622160.0,1764088365.0,-0.07,0.59,151.72,107.1,电池
98,300984,金沃股份,46.31,9.09,3.86,60921.0,278772943.57,14.13,48.3,42.3,42.47,42.45,1.35,11.94,133.02,4.64,3788515050.0,2363852549.0,0.54,0.67,139.95,66.52,通用设备
99,871478,巨能股份,28.94,8.92,2.37,64095.0,187857336.35,13.47,31.08,27.5,27.5,26.57,1.52,27.87,-306.63,8.45,2213305067.0,665620000.0,0.21,0.17,176.94,46.16,专用设备
100,300307,慈星股份,8.22,8.87,0.67,504134.0,401800630.0,9.14,8.22,7.53,7.55,7.55,3.06,6.49,15.69,2.01,6475730599.0,6390036753.0,0.12,0.49,51.94,30.06,专用设备
101,300727,润禾材料,33.93,8.85,2.76,99711.0,331193048.26,8.6,34.05,31.37,31.79,31.17,1.73,8.76,46.5,4.85,4333729099.0,3864245864.0,0.09,0.18,61.03,18.68,化学制品
102,832171,志晟信息,21.68,8.84,1.76,56768.0,115393516.81,12.45,21.78,19.3,20.29,19.92,1.1,8.62,-45.53,8.53,2173056535.0,1427338203.0,-0.46,3.44,260.13,93.92,软件开发
103,600839,四川长虹,11.12,8.81,0.9,7266425.0,7950102324.0,10.67,11.24,10.15,10.16,10.22,2.61,15.75,111.73,3.61,51332635749.0,51318339977.0,0.0,0.18,120.2,112.21,家电行业
104,002879,长缆科技,17.45,8.79,1.41,233712.0,392827065.29,14.96,17.64,15.24,15.4,16.04,5.04,16.95,45.44,1.99,3369728318.0,2406075887.0,1.45,1.51,44.81,10.65,电网设备
105,301048,金鹰重工,10.4,8.79,0.84,272906.0,283057670.0,9.62,10.77,9.85,9.85,9.56,4.56,5.12,39.71,2.17,5546667360.0,5546667360.0,-0.1,0.0,27.45,-0.86,交运设备
106,300991,创益通,23.08,8.77,1.86,224545.0,503496858.28,10.93,23.3,20.98,21.01,21.22,1.65,24.98,-584.83,5.22,3323520000.0,2074707360.0,0.13,0.35,72.5,33.03,电子元件
107,301328,维峰电子,44.5,8.75,3.58,87285.0,384137784.79,11.63,46.8,42.04,42.04,40.92,3.52,25.57,53.91,2.59,4890264933.0,1518955925.0,0.14,0.45,40.56,-8.17,电子元件
108,600673,东阳光,10.08,8.74,0.81,929625.0,913827456.0,9.39,10.2,9.33,9.54,9.27,2.96,3.1,72.92,3.34,30379852531.0,30255703904.0,0.0,-0.49,54.36,44.21,综合行业
109,837023,芭薇股份,15.85,8.71,1.27,54869.0,85473229.5,17.08,16.7,14.21,14.61,14.58,1.51,16.01,35.11,3.55,1359930000.0,543122599.0,-0.25,0.38,84.95,53.88,化学制品
110,300832,新产业,71.33,8.57,5.63,70117.0,490650382.08,8.89,71.8,65.96,66.03,65.7,2.64,1.03,30.38,6.9,56045320934.0,48519202830.0,0.06,0.1,5.64,-7.6,医疗器械
111,838227,美登科技,61.0,8.46,4.76,36277.0,214536932.26,15.79,63.48,54.6,55.0,56.24,1.27,20.58,57.06,5.93,2375431500.0,1075045944.0,0.98,1.16,218.21,107.2,互联网服务
