序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,板块信息
3063,301068,大地海洋,30.99,0.68,0.21,8445.0,25965264.0,4.22,31.35,30.05,30.81,30.78,0.52,0.78,52.54,4.06,3375427329.0,3375427329.0,0.0,0.52,64.58,33.64,环保行业
3064,002978,安宁股份,29.52,0.68,0.2,8481.0,25049033.07,1.33,29.72,29.33,29.41,29.32,0.61,0.28,13.0,1.88,11837520000.0,8826480000.0,-0.34,-0.07,16.13,-3.72,有色金属
3065,600657,信达地产,4.43,0.68,0.03,181061.0,79885307.0,2.5,4.47,4.36,4.39,4.4,0.71,0.63,-109.25,0.51,12633822176.0,12633822176.0,0.0,0.0,32.63,23.4,房地产开发
3066,600783,鲁信创投,13.3,0.68,0.09,25958.0,34431318.0,1.44,13.35,13.16,13.16,13.21,0.72,0.35,23.93,2.03,9899978610.0,9899978610.0,-0.08,-0.08,23.26,15.95,非金属材料
3067,600863,内蒙华电,4.44,0.68,0.03,426404.0,188602670.0,1.59,4.45,4.38,4.4,4.41,0.72,0.65,8.8,1.74,28979381881.0,28979381881.0,0.23,-0.22,0.91,19.35,电力行业
3068,000572,海马汽车,4.44,0.68,0.03,364633.0,160728219.98,2.72,4.46,4.34,4.41,4.41,0.41,2.22,97.61,3.74,7302185731.0,7291583637.0,0.0,0.45,40.51,-9.57,汽车整车
3069,300293,蓝英装备,25.18,0.68,0.17,95351.0,237636190.0,4.12,25.46,24.43,25.01,25.01,0.81,3.4,-2570.21,9.26,8521871509.0,7058858390.0,0.04,0.24,47.17,71.29,专用设备
3070,300005,探路者,7.44,0.68,0.05,174917.0,129270834.38,2.98,7.5,7.28,7.42,7.39,0.48,1.98,48.46,3.15,6574744264.0,6571914646.0,0.0,-0.27,45.03,12.73,纺织服装
3071,300195,长荣股份,5.97,0.67,0.04,120326.0,71779392.0,4.05,6.09,5.85,5.98,5.93,0.77,3.83,560.65,0.95,2529535303.0,1874057512.0,0.0,0.34,38.84,-12.21,专用设备
3072,603983,丸美生物,34.34,0.67,0.23,41153.0,139650284.0,4.51,34.68,33.14,33.95,34.11,1.17,1.03,43.25,4.08,13770340000.0,13770340000.0,0.2,0.2,48.02,40.16,美容护理
3073,600905,三峡能源,4.48,0.67,0.03,786051.0,351098772.0,1.12,4.49,4.44,4.44,4.45,0.85,0.27,18.88,1.5,128220881743.0,128064637416.0,0.0,-0.22,6.41,4.43,电力行业
3074,301511,德福科技,13.44,0.67,0.09,49738.0,66637453.1,2.62,13.59,13.24,13.36,13.35,0.72,1.33,-31.13,2.1,8471527680.0,5022151828.0,0.0,0.15,15.17,-18.69,电池
3075,002758,浙农股份,8.96,0.67,0.06,54985.0,49047555.26,1.69,8.99,8.84,8.88,8.9,0.5,1.06,21.85,1.04,4673068279.0,4640956087.0,0.0,0.34,19.47,-11.37,综合行业
3076,600039,四川路桥,7.48,0.67,0.05,168125.0,125412461.0,1.21,7.49,7.4,7.44,7.43,0.66,0.25,10.24,1.43,65167733261.0,50116653490.0,0.13,0.13,26.99,7.78,工程建设
3077,300054,鼎龙股份,26.99,0.67,0.18,92786.0,248790224.4,2.01,27.06,26.52,26.81,26.81,0.73,1.27,50.47,5.83,25324247131.0,19653428918.0,0.04,0.11,39.7,11.53,电子化学品
3078,688211,中科微至,30.0,0.67,0.2,2720.0,8130313.0,1.74,30.24,29.72,29.83,29.8,0.66,0.42,-249.02,1.09,3948260940.0,1950260940.0,0.5,0.5,17.0,-18.01,物流行业
3079,600805,悦达投资,4.5,0.67,0.03,83390.0,37610697.0,2.24,4.56,4.46,4.48,4.47,0.55,0.98,114.23,0.87,3829025223.0,3826239156.0,0.22,0.0,25.7,-11.76,综合行业
3080,000999,华润三九,46.55,0.67,0.31,55094.0,255605660.7,1.19,46.58,46.03,46.04,46.24,0.74,0.43,15.15,3.11,59784103787.0,59381954473.0,0.02,0.04,20.97,28.95,中药
3081,605318,法狮龙,21.03,0.67,0.14,12540.0,26324454.0,4.16,21.38,20.51,21.0,20.89,0.54,1.0,-162.08,3.47,2647993039.0,2647993039.0,0.29,0.33,27.38,33.35,装修装饰
3082,600785,新华百货,12.03,0.67,0.08,123478.0,146838638.0,3.01,12.05,11.69,11.85,11.95,0.55,5.47,18.69,1.22,2714344298.0,2714344298.0,0.08,0.25,25.84,-17.6,商业百货
3083,301509,金凯生科,27.1,0.67,0.18,11988.0,32375650.29,2.08,27.26,26.7,27.0,26.92,0.68,2.11,62.31,1.52,3264104730.0,1537679149.0,0.0,0.15,0.97,-39.14,生物制品
3084,002688,金河生物,4.52,0.67,0.03,74470.0,33538272.5,2.23,4.55,4.45,4.49,4.49,0.53,1.0,23.0,1.56,3488058679.0,3367688679.0,0.0,0.0,24.52,-4.03,农药兽药
3085,603926,铁流股份,9.06,0.67,0.06,19044.0,17227549.0,3.44,9.22,8.91,9.03,9.0,0.59,0.83,20.54,1.28,2130028931.0,2079564731.0,-0.11,0.22,16.75,-25.31,汽车零部件
3086,601005,重庆钢铁,1.51,0.67,0.01,1491579.0,224291595.0,3.33,1.53,1.48,1.5,1.5,0.85,1.78,-7.48,0.73,13467089423.0,12654517351.0,-0.66,-0.66,36.04,8.63,钢铁行业
3087,600022,山东钢铁,1.51,0.67,0.01,1342541.0,201461967.0,2.67,1.52,1.48,1.5,1.5,0.9,1.25,-8.35,0.82,16155262827.0,16155262827.0,-0.66,0.0,16.15,10.22,钢铁行业
3088,002714,牧原股份,39.33,0.67,0.26,271368.0,1068466600.44,2.3,39.78,38.88,39.08,39.07,1.07,0.71,15.37,3.22,214850521610.0,149875582400.0,-0.03,0.08,2.5,-4.49,农牧饲渔
3089,688511,天微电子,16.65,0.67,0.11,19811.0,32776912.0,3.87,16.85,16.21,16.47,16.54,0.98,1.92,205.7,2.05,1729693975.0,1718458621.0,0.06,0.18,61.49,-30.39,电子元件
3090,688277,天智航-U,10.6,0.66,0.07,31715.0,33272660.0,3.32,10.68,10.33,10.65,10.53,0.56,0.71,-46.9,4.04,4763554553.0,4763554553.0,0.38,0.38,61.34,-19.58,医疗器械
3091,002537,海联金汇,6.06,0.66,0.04,154955.0,93812000.05,2.16,6.13,6.0,6.05,6.02,0.63,1.32,105.85,1.75,7114541475.0,7114541475.0,0.0,0.33,16.09,-9.01,汽车零部件
3092,002157,正邦科技,3.03,0.66,0.02,820313.0,246692052.95,2.66,3.06,2.98,3.01,3.01,0.72,1.15,69.91,2.41,28027992645.0,21678243880.0,-0.33,-0.33,13.91,13.06,农牧饲渔
3093,603239,浙江仙通,13.66,0.66,0.09,32129.0,43695531.0,2.8,13.76,13.38,13.7,13.57,0.87,1.19,21.47,3.31,3698035200.0,3698035200.0,-0.15,-0.15,13.93,-8.63,汽车零部件
3094,603578,三星新材,12.15,0.66,0.08,12323.0,14998049.0,2.65,12.32,12.0,12.14,12.07,0.65,0.68,58.63,1.99,2191337939.0,2191337939.0,-0.16,0.08,9.95,-14.07,家电行业
3095,600391,航发科技,18.23,0.66,0.12,32738.0,59603160.0,1.82,18.38,18.05,18.11,18.11,0.7,0.99,84.62,3.66,6018258360.0,6018258360.0,0.0,-0.11,17.08,-4.65,航天航空
3096,300572,安车检测,18.24,0.66,0.12,39244.0,70864586.4,3.86,18.49,17.79,18.13,18.12,0.59,2.14,-118.97,2.11,4176755931.0,3348801273.0,0.72,0.77,57.92,1.05,专业服务
3097,002497,雅化集团,12.16,0.66,0.08,169467.0,205840061.4,3.06,12.34,11.97,12.07,12.08,0.8,1.61,67.99,1.34,14015160243.0,12810851098.0,-0.08,-0.08,38.97,-6.89,化学制品
3098,600763,通策医疗,47.13,0.66,0.31,38169.0,179613523.0,1.07,47.25,46.75,46.75,46.82,0.83,0.85,31.73,5.11,21080736084.0,21080736084.0,0.02,0.08,3.83,-13.16,医疗服务
3099,600026,中远海能,12.17,0.66,0.08,436698.0,527585166.0,2.81,12.19,11.85,12.02,12.09,1.19,1.26,12.75,1.61,58060348727.0,42288028727.0,0.0,0.0,-9.38,4.28,航运港口
3100,300619,金银河,27.43,0.66,0.18,31811.0,87463039.8,3.89,28.09,27.03,27.05,27.25,0.82,2.89,-280.48,2.24,3671392790.0,3016746682.0,-0.04,0.26,13.11,-35.61,电池
3101,300343,联创股份,6.11,0.66,0.04,199387.0,122147252.31,3.46,6.24,6.03,6.07,6.07,0.82,1.87,-291.9,3.42,6531401317.0,6514600467.0,0.16,0.16,45.82,-7.42,化学制品
3102,605018,长华集团,9.17,0.66,0.06,56257.0,51314737.0,4.61,9.3,8.88,9.2,9.11,0.61,1.2,36.02,1.6,4321140522.0,4310503322.0,0.0,0.22,24.76,-15.72,汽车零部件
3103,002394,联发股份,7.65,0.66,0.05,51075.0,38909181.0,1.84,7.7,7.56,7.59,7.6,0.72,1.58,14.23,0.62,2476305000.0,2473134886.0,0.0,0.0,25.2,-7.94,纺织服装
3104,300759,康龙化成,27.55,0.66,0.18,132724.0,365041039.73,1.83,27.77,27.27,27.35,27.37,0.92,0.93,25.98,3.68,49242712882.0,39357472257.0,0.0,0.04,27.9,-4.27,医疗服务
3105,000596,古井贡酒,176.15,0.66,1.15,15351.0,269165680.1,1.47,176.6,174.02,175.0,175.0,0.56,0.38,14.71,3.9,93112890000.0,71974890000.0,0.02,0.03,15.74,-22.84,酿酒行业
3106,600282,南钢股份,4.6,0.66,0.03,262016.0,120443677.0,1.53,4.62,4.55,4.55,4.57,0.67,0.43,12.13,1.1,28359418651.0,28359418651.0,-0.22,0.0,5.75,37.31,钢铁行业
3107,603896,寿仙谷,21.5,0.66,0.14,17736.0,37986830.0,1.12,21.52,21.28,21.37,21.36,0.53,0.89,26.94,1.97,4262242388.0,4262242388.0,-0.05,0.0,7.13,-32.5,中药
3108,600649,城投控股,4.61,0.66,0.03,176060.0,80873485.0,1.75,4.63,4.55,4.56,4.58,0.74,0.7,-40.46,0.57,11661343673.0,11661343673.0,-0.22,0.0,36.39,26.65,房地产开发
3109,002079,苏州固锝,10.76,0.65,0.07,135335.0,145088441.73,2.71,10.85,10.56,10.74,10.69,0.76,1.67,161.76,2.93,8715083692.0,8706897075.0,0.0,0.0,30.58,-4.27,半导体
3110,603776,永安行,13.87,0.65,0.09,85580.0,118301517.0,3.63,14.12,13.62,13.92,13.78,0.63,3.73,-79.76,1.06,3182893675.0,3182893675.0,-0.07,0.0,43.29,0.65,专业服务
3111,600178,东安动力,12.33,0.65,0.08,119253.0,146719297.0,3.51,12.56,12.13,12.35,12.25,0.58,2.56,-2725.32,2.28,5806485460.0,5751651065.0,0.0,0.24,36.24,-16.8,汽车零部件
3112,300143,盈康生命,9.25,0.65,0.06,36160.0,33422506.18,3.26,9.43,9.13,9.2,9.19,0.58,0.56,63.04,2.91,6938098235.0,5940044843.0,0.0,0.11,23.33,-12.98,医疗服务
3113,301265,华新环保,9.26,0.65,0.06,17397.0,16120469.86,3.04,9.4,9.12,9.29,9.2,0.62,1.02,51.98,1.36,2805531665.0,1572321637.0,-0.11,-0.22,16.48,-9.66,环保行业
3114,601137,博威合金,18.53,0.65,0.12,213843.0,396550088.0,2.88,18.83,18.3,18.41,18.41,0.98,2.74,9.9,1.86,14488478717.0,14457348317.0,0.0,0.05,29.31,22.88,有色金属
3115,601328,交通银行,7.73,0.65,0.05,1370134.0,1054205310.0,1.69,7.74,7.61,7.66,7.68,0.87,0.35,6.27,0.6,574050876966.0,303409178836.0,0.13,0.0,8.42,43.95,银行
3116,600955,维远股份,15.46,0.65,0.1,18938.0,29097780.0,2.28,15.5,15.15,15.36,15.36,0.81,0.34,72.58,0.99,8503000000.0,8503000000.0,0.13,0.06,20.4,-13.63,化学原料
3117,837046,亿能电力,17.03,0.65,0.11,107689.0,185324129.59,10.17,18.44,16.72,17.6,16.92,0.86,20.94,98.97,7.05,1722584500.0,876001691.0,-0.47,0.12,151.55,160.4,电网设备
3118,603569,长久物流,7.75,0.65,0.05,73562.0,56701142.0,2.47,7.8,7.61,7.77,7.7,0.69,1.22,57.34,1.64,4677181195.0,4677181195.0,0.13,0.0,18.68,-37.09,物流行业
3119,300080,易成新能,4.65,0.65,0.03,106614.0,49846951.4,2.81,4.75,4.62,4.64,4.62,0.77,0.57,-16.39,1.61,8711219027.0,8700128489.0,0.0,0.0,35.57,-3.93,通用设备
3120,000876,新 希 望,9.3,0.65,0.06,166484.0,154287747.83,1.08,9.32,9.22,9.24,9.24,0.63,0.37,205.98,1.97,42091228552.0,41847087473.0,-0.11,0.0,8.27,-0.21,农牧饲渔
3121,301365,矩阵股份,15.51,0.65,0.1,75956.0,118316415.71,10.58,16.51,14.88,15.7,15.41,1.13,16.39,46.83,1.56,2791800000.0,718888500.0,0.0,0.26,49.13,3.75,装修装饰
3122,301301,川宁生物,12.42,0.65,0.08,127862.0,158394603.72,1.3,12.46,12.3,12.4,12.34,0.74,2.08,19.28,3.65,27661327200.0,7649383074.0,0.08,0.08,13.53,51.83,生物制品
3123,002129,TCL中环,9.32,0.65,0.06,669124.0,626775588.48,2.48,9.51,9.28,9.29,9.26,1.19,1.66,-4.66,1.09,37681839004.0,37653336888.0,0.0,0.11,12.83,-39.4,光伏设备
3124,002626,金达威,15.58,0.65,0.1,38516.0,59654563.0,1.55,15.6,15.36,15.49,15.48,0.74,0.63,32.29,2.36,9502783732.0,9501381532.0,0.06,0.26,16.97,-3.41,食品饮料
3125,833751,惠同新材,12.48,0.65,0.08,14751.0,18471215.29,3.31,12.71,12.3,12.5,12.4,0.62,3.2,26.09,2.9,1083014400.0,575621280.0,-0.16,0.16,51.09,21.17,钢铁行业
3126,605009,豪悦护理,40.56,0.65,0.26,15385.0,62440063.0,1.86,40.99,40.24,40.31,40.3,0.79,0.99,16.04,1.97,6295721131.0,6273007531.0,0.0,0.05,13.68,11.21,美容护理
3127,600885,宏发股份,31.2,0.65,0.2,37526.0,116881282.0,1.97,31.44,30.83,31.14,31.0,0.77,0.36,19.22,3.7,32531487019.0,32531487019.0,-0.51,-0.61,12.76,14.71,电网设备
3128,300438,鹏辉能源,29.67,0.64,0.19,79668.0,235820061.31,2.58,30.0,29.24,29.48,29.48,0.73,1.97,185.13,2.76,14934197491.0,11991603469.0,-0.07,-0.03,27.01,5.1,电池
3129,600854,春兰股份,4.69,0.64,0.03,102326.0,48019178.0,2.58,4.76,4.64,4.7,4.66,0.91,1.97,13.63,1.02,2436260543.0,2436260543.0,0.21,0.0,14.95,-8.58,家电行业
3130,000048,京基智农,17.2,0.64,0.11,37285.0,63749693.81,2.69,17.28,16.82,17.13,17.09,0.78,0.71,11.37,2.2,9125791100.0,9060267700.0,-0.12,0.0,29.42,-4.02,农牧饲渔
3131,301246,宏源药业,14.09,0.64,0.09,29499.0,41421684.0,1.79,14.16,13.91,14.01,14.0,0.73,1.83,116.96,1.3,5636095812.0,2267737594.0,0.07,0.07,24.14,-45.66,化学制药
3132,000723,美锦能源,4.71,0.64,0.03,370928.0,173811413.16,1.92,4.73,4.64,4.67,4.68,0.66,0.86,-23.41,1.4,20437397918.0,20271619483.0,0.0,0.21,9.79,-29.28,煤炭行业
3133,688036,传音控股,92.7,0.64,0.59,53781.0,500502410.0,3.47,94.7,91.5,91.82,92.11,0.74,0.47,20.31,5.59,105710498303.0,105710498303.0,-0.19,-0.02,5.7,-2.64,消费电子
3134,603636,南威软件,11.0,0.64,0.07,74262.0,81806130.0,2.84,11.21,10.9,11.0,10.93,0.68,1.28,-29.63,2.54,6383965753.0,6383965753.0,-0.09,0.0,22.22,-13.86,互联网服务
3135,601963,重庆银行,9.43,0.64,0.06,87089.0,81801514.0,1.39,9.45,9.32,9.35,9.37,0.73,0.46,5.55,0.63,32765179012.0,17689934445.0,0.0,0.0,31.15,43.97,银行
3136,000599,青岛双星,4.72,0.64,0.03,138293.0,65161666.89,4.26,4.83,4.63,4.72,4.69,0.77,1.69,-15.97,2.22,3855102419.0,3855015099.0,0.43,0.21,18.0,6.07,橡胶制品
3137,001331,胜通能源,11.07,0.64,0.07,18500.0,20462614.6,3.0,11.23,10.9,11.06,11.0,0.62,3.67,69.22,1.48,2231712000.0,557928000.0,0.0,0.18,14.36,-23.5,物流行业
3138,688076,诺泰生物,50.61,0.64,0.32,22454.0,113376136.0,2.25,50.98,49.85,50.31,50.29,0.78,1.02,23.82,4.37,11123059879.0,11123059879.0,-0.02,0.12,-6.02,13.86,医疗服务
3139,600536,中国软件,50.75,0.63,0.32,223409.0,1122836321.0,2.44,50.95,49.72,50.28,50.43,0.84,2.65,-95.87,19.87,43146147648.0,42779957623.0,-0.02,0.1,46.55,39.96,软件开发
3140,688523,航天环宇,20.65,0.63,0.13,14746.0,30561772.0,2.34,20.98,20.5,20.62,20.52,0.77,1.73,123.09,5.31,8402072000.0,1761967342.0,-0.24,-0.1,27.94,-22.43,航天航空
3141,300578,会畅通讯,20.65,0.63,0.13,56036.0,114689156.0,4.04,20.95,20.12,20.83,20.52,0.49,2.89,133.53,3.49,4094270131.0,4007327849.0,-0.05,0.15,53.53,15.62,通信服务
3142,836221,易实精密,15.89,0.63,0.1,10828.0,17160872.54,3.67,16.16,15.58,15.65,15.79,0.72,2.62,25.05,3.93,1536563000.0,655847435.0,0.13,0.0,44.06,-6.53,汽车零部件
3143,002293,罗莱生活,7.95,0.63,0.05,41657.0,33036874.28,1.77,8.01,7.87,7.94,7.9,0.45,0.5,18.94,1.66,6606310724.0,6572768386.0,-0.13,-0.13,27.81,-8.52,纺织服装
3144,836395,朗鸿科技,12.73,0.63,0.08,9576.0,12147742.57,4.27,12.95,12.41,12.78,12.65,0.49,1.69,28.33,8.05,1623762420.0,720956930.0,0.16,0.24,85.3,57.55,电子元件
3145,301355,南王科技,12.75,0.63,0.08,42495.0,53636883.41,3.0,12.84,12.46,12.82,12.67,0.94,4.24,48.91,1.62,2487498582.0,1278256707.0,0.16,-0.08,30.9,-15.28,造纸印刷
3146,300755,华致酒行,17.58,0.63,0.11,47164.0,82526117.76,2.06,17.68,17.32,17.54,17.47,0.47,1.13,32.76,2.23,7327315872.0,7321316433.0,0.11,0.23,52.34,3.59,贸易行业
3147,301508,中机认检,36.76,0.63,0.23,31526.0,115496091.2,2.11,36.99,36.22,36.6,36.53,0.36,5.36,65.05,4.38,8310891952.0,2162826064.0,0.03,0.27,20.13,8.12,专业服务
3148,603087,甘李药业,45.04,0.63,0.28,41508.0,185592082.0,1.47,45.04,44.38,44.81,44.76,0.85,0.75,40.03,2.48,27071980662.0,24948458072.0,0.02,0.09,15.04,-13.3,生物制品
3149,688355,明志科技,17.71,0.63,0.11,8633.0,15163477.0,2.05,17.76,17.4,17.59,17.6,0.78,0.7,31.11,2.08,2195262035.0,2195262035.0,0.34,0.34,30.51,-8.95,通用设备
3150,600160,巨化股份,24.15,0.63,0.15,349114.0,836485730.0,2.21,24.23,23.7,24.0,24.0,1.26,1.29,38.88,3.82,65198867856.0,65198867856.0,0.0,0.12,38.79,47.44,化学制品
3151,000712,锦龙股份,14.52,0.62,0.09,369828.0,527733022.7,3.6,14.6,14.08,14.4,14.43,0.88,4.13,-101.68,5.44,13009920000.0,12997606677.0,0.0,0.21,30.69,-1.02,证券
3152,688380,中微半导,32.3,0.62,0.2,177264.0,561492755.0,7.63,32.85,30.4,32.32,32.1,0.75,12.0,87.11,4.36,12931789500.0,4773294000.0,0.12,0.19,76.7,36.81,半导体
3153,002016,世荣兆业,6.46,0.62,0.04,62777.0,40525398.63,2.49,6.54,6.38,6.5,6.42,0.39,0.78,163.83,1.1,5226757783.0,5226757783.0,-0.46,-0.46,-4.86,3.53,房地产开发
3154,002142,宁波银行,24.23,0.62,0.15,253639.0,613374230.24,1.45,24.28,23.93,24.08,24.08,0.89,0.39,5.8,0.81,160005004890.0,158066783877.0,0.04,0.0,15.16,24.19,银行
3155,300618,寒锐钴业,35.62,0.62,0.22,43483.0,155002400.0,2.15,36.07,35.31,35.45,35.4,0.78,1.6,49.27,2.06,10982536179.0,9664445400.0,0.0,-0.03,59.73,26.36,能源金属
3156,002658,雪迪龙,6.48,0.62,0.04,78486.0,50879571.0,2.8,6.58,6.4,6.51,6.44,0.33,2.19,40.73,1.65,4119730788.0,2324150814.0,0.0,0.0,14.08,-16.17,仪器仪表
3157,301200,大族数控,37.31,0.62,0.23,7229.0,26958698.06,2.51,37.84,36.91,37.0,37.08,0.57,1.24,57.89,3.14,15670200000.0,2179017833.0,-0.08,0.03,32.12,-1.22,专用设备
3158,600118,中国卫星,29.2,0.62,0.18,189733.0,548505310.0,3.03,29.34,28.46,29.03,29.02,0.72,1.6,-1756.82,5.49,34528682742.0,34528682742.0,0.03,0.17,36.07,13.27,航天航空
3159,002169,智光电气,6.49,0.62,0.04,131744.0,86001659.48,4.65,6.7,6.4,6.45,6.45,0.54,1.74,-27.0,1.75,5079749570.0,4923794046.0,0.0,0.0,43.9,-4.28,电网设备
3160,301388,欣灵电气,24.35,0.62,0.15,30142.0,73124934.0,5.5,24.99,23.66,24.18,24.2,0.58,11.02,175.9,2.59,2494599060.0,666132918.0,0.08,0.41,39.7,1.29,电网设备
3161,300429,强力新材,12.99,0.62,0.08,126777.0,163577182.8,3.49,13.14,12.69,12.96,12.91,0.77,3.18,-203.92,3.75,6966193960.0,5178043351.0,0.0,0.15,35.88,1.01,电子化学品
3162,600298,安琪酵母,35.75,0.62,0.22,53942.0,191908609.0,2.48,35.88,35.0,35.41,35.53,0.85,0.63,24.43,2.98,31054047274.0,30548227674.0,-0.03,0.03,8.53,3.09,食品饮料
3163,600660,福耀玻璃,60.18,0.62,0.37,113881.0,683406126.0,1.57,60.4,59.46,59.69,59.81,0.83,0.57,21.5,4.7,157054365756.0,120539717460.0,0.02,0.02,17.49,66.75,玻璃玻纤
3164,603985,恒润股份,13.02,0.62,0.08,88635.0,115527300.0,3.71,13.3,12.82,12.94,12.94,0.66,2.01,-58.43,1.75,5739971199.0,5739971199.0,0.08,0.0,34.64,-47.61,风电设备
3165,301057,汇隆新材,13.07,0.62,0.08,21643.0,28226829.23,3.08,13.25,12.85,13.1,12.99,0.59,2.63,47.12,2.04,1534293025.0,1075706261.0,-0.15,-0.15,11.42,-20.79,化纤行业
3166,000680,山推股份,9.82,0.61,0.06,221246.0,215695080.24,4.41,9.98,9.55,9.75,9.76,1.03,1.69,16.39,2.44,14733215186.0,12844525434.0,0.0,0.0,29.55,105.01,工程机械
3167,301538,骏鼎达,85.2,0.61,0.52,17129.0,145525702.07,6.03,87.5,82.39,83.99,84.68,1.5,12.23,30.99,3.95,4771200000.0,1192800000.0,0.02,0.26,32.32,117.51,塑料制品
3168,300886,华业香料,19.69,0.61,0.12,12867.0,25350429.3,5.42,20.19,19.13,19.71,19.57,0.84,2.96,61.8,2.62,1467987950.0,855807145.0,-0.05,-0.15,13.42,-20.51,美容护理
3169,002873,新天药业,9.85,0.61,0.06,42147.0,41551050.82,3.27,10.05,9.73,9.8,9.79,0.71,1.77,29.56,2.04,2404422489.0,2351971968.0,0.1,0.0,21.91,-20.5,中药
3170,002395,双象股份,18.08,0.61,0.11,120339.0,215726171.31,4.17,18.31,17.56,17.56,17.97,0.71,4.49,44.14,4.99,4849218720.0,4849218720.0,0.17,0.22,38.23,-9.78,塑料制品
3171,300676,华大基因,44.39,0.61,0.27,23721.0,104944531.44,1.99,44.77,43.89,44.46,44.12,0.94,0.58,-111.49,1.88,18458319714.0,18311768438.0,-0.02,0.05,24.52,-7.33,医疗器械
3172,688078,龙软科技,27.95,0.61,0.17,7529.0,20917165.0,3.06,28.2,27.35,27.99,27.78,0.78,1.03,31.15,2.69,2037359350.0,2037359350.0,0.18,-0.18,25.39,-30.06,软件开发
3173,300364,中文在线,26.31,0.61,0.16,274188.0,718043886.57,3.14,26.63,25.81,26.3,26.15,0.57,4.15,-76.57,18.46,19204711350.0,17390235096.0,-0.04,0.11,50.86,2.25,文化传媒
3174,836892,广咨国际,11.52,0.61,0.07,5936.0,6805478.55,4.1,11.69,11.22,11.35,11.45,0.45,0.44,25.43,4.7,1784043268.0,1538488431.0,0.26,0.0,55.68,3.6,工程咨询服务
3175,300928,华安鑫创,34.58,0.61,0.21,10339.0,35698725.0,5.03,35.56,33.83,34.58,34.37,0.74,1.95,-52.49,2.33,2766400000.0,1833193102.0,0.03,0.09,18.51,-31.24,汽车零部件
3176,301022,海泰科,21.41,0.61,0.13,15005.0,32122642.92,4.75,21.95,20.94,21.28,21.28,0.92,2.87,44.3,1.87,1814494974.0,1117660085.0,0.0,0.19,20.35,-20.76,汽车零部件
3177,002041,登海种业,9.89,0.61,0.06,82835.0,81355691.75,1.93,9.91,9.72,9.85,9.83,0.32,0.94,111.42,2.42,8703200000.0,8703200000.0,0.0,0.3,20.9,-25.02,农牧饲渔
3178,002696,百洋股份,4.95,0.61,0.03,93451.0,45890990.4,5.28,5.05,4.79,4.97,4.92,1.11,2.72,-42.04,1.25,1714493197.0,1703487793.0,0.0,0.2,23.13,-25.23,农牧饲渔
3179,600834,申通地铁,8.3,0.61,0.05,39938.0,33132647.0,2.06,8.38,8.21,8.32,8.25,0.56,0.84,57.6,2.33,3962269812.0,3962269812.0,-0.12,0.0,19.94,1.72,铁路公路
3180,600190,ST锦港,1.66,0.61,0.01,131014.0,21532891.0,1.82,1.66,1.63,1.65,1.65,0.8,0.74,-1.17,0.73,3323803890.0,2953944320.0,0.0,0.0,12.93,-41.96,航运港口
3181,300593,新雷能,11.62,0.61,0.07,80542.0,93732967.7,3.72,11.86,11.43,11.61,11.55,0.83,1.79,-34.35,2.25,6303832210.0,5232061882.0,-0.17,-0.09,27.41,-20.79,电源设备
3182,688336,三生国健,21.6,0.61,0.13,9613.0,20751234.0,1.58,21.79,21.45,21.45,21.47,0.76,0.16,42.87,2.63,13322573129.0,13322573129.0,0.14,0.33,26.39,-3.7,生物制品
3183,688051,佳华科技,21.6,0.61,0.13,8308.0,17695975.0,3.31,21.66,20.95,21.34,21.47,0.98,1.07,-39.94,2.11,1670414400.0,1670414400.0,1.36,0.93,36.02,-35.23,互联网服务
3184,002439,启明星辰,16.62,0.61,0.1,108958.0,180590319.97,2.3,16.8,16.42,16.62,16.52,0.82,1.5,-72.29,1.77,20249299029.0,12035749792.0,0.0,-0.06,21.49,-37.82,软件开发
3185,603882,金域医学,29.95,0.6,0.18,56003.0,166478281.0,1.88,29.99,29.43,29.91,29.77,1.15,1.22,110.89,1.77,13874585336.0,13781030581.0,0.0,0.0,6.32,-51.45,医疗服务
3186,300719,安达维尔,18.31,0.6,0.11,45791.0,83627764.0,3.57,18.63,17.98,18.28,18.2,0.65,2.55,661.31,4.47,4663492000.0,3288844617.0,-0.16,-0.11,19.91,39.45,航天航空
3187,002109,兴化股份,3.33,0.6,0.02,70892.0,23558490.8,2.72,3.37,3.28,3.37,3.31,0.74,0.56,-10.31,0.93,4249978604.0,4249978604.0,-0.6,-0.3,29.57,-29.75,化学原料
3188,301072,中捷精工,20.02,0.6,0.12,10417.0,20885889.0,3.97,20.48,19.69,20.18,19.9,0.66,1.55,-320.32,2.62,2103197096.0,1344141258.0,0.05,-0.15,15.12,-20.52,汽车零部件
3189,601882,海天精工,21.74,0.6,0.13,20263.0,44185369.0,1.62,21.96,21.61,21.61,21.61,0.91,0.39,21.08,4.4,11348280000.0,11348280000.0,0.0,0.05,11.6,-16.0,通用设备
3190,603359,东珠生态,5.02,0.6,0.03,77865.0,38740080.0,3.61,5.06,4.88,5.01,4.99,0.52,1.75,128.29,0.67,2239401920.0,2239401920.0,0.0,0.4,41.81,-34.55,环保行业
