序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3649,600908,无锡银行,5.83,-0.68,-0.04,168876.0,98750757.0,1.36,5.88,5.8,5.85,5.87,0.73,0.84,5.43,0.62,12794994282.0,11655992837.0,0.17,0.17,8.16,20.21
3655,000860,顺鑫农业,18.77,-0.69,-0.13,155071.0,293148727.8,2.28,19.16,18.73,18.89,18.9,0.73,2.09,27.33,1.94,13922966384.0,13922966384.0,0.11,0.16,25.22,-11.84
3659,002773,康弘药业,20.08,-0.69,-0.14,101084.0,205615372.02,3.66,20.72,19.98,20.25,20.22,0.87,1.47,14.23,2.19,18469147340.0,13761643846.0,0.25,0.25,6.53,11.18
3663,002373,千方科技,9.93,-0.7,-0.07,209190.0,209981359.73,3.2,10.23,9.91,9.98,10.0,0.84,1.52,746.8,1.26,15691268975.0,13679509671.0,0.0,0.0,30.49,-11.02
3671,000683,远兴能源,5.62,-0.71,-0.04,311439.0,175290517.36,1.94,5.69,5.58,5.65,5.66,0.65,0.95,8.73,1.46,21014172267.0,18450094829.0,-0.18,0.0,-2.43,0.9
3679,600373,中文传媒,12.53,-0.71,-0.09,155995.0,197285382.0,2.54,12.78,12.46,12.52,12.62,0.93,1.15,18.11,0.95,17576173157.0,16978948399.0,0.08,0.16,-3.02,1.05
3685,603919,金徽酒,20.77,-0.72,-0.15,28180.0,58837159.0,1.67,21.05,20.7,20.93,20.92,0.69,0.56,23.73,3.22,10535790138.0,10535790138.0,0.1,0.05,23.63,-14.28
3691,300255,常山药业,19.08,-0.73,-0.14,223631.0,428860123.8,4.27,19.72,18.9,19.2,19.22,0.7,2.44,1804.06,9.64,17535681552.0,17475546754.0,0.1,-0.05,111.06,46.66
3693,002332,仙琚制药,12.25,-0.73,-0.09,53306.0,65490300.0,1.38,12.38,12.21,12.34,12.34,0.41,0.54,17.14,2.01,12117759609.0,12061027960.0,0.16,0.16,7.93,-1.76
3695,688289,圣湘生物,21.76,-0.73,-0.16,69957.0,153576266.0,3.01,22.3,21.64,21.92,21.92,0.86,1.2,48.63,1.75,12672763011.0,12672763011.0,0.0,0.0,22.04,13.93
